T.J. McConnell,Phi,G,27.22,2.7,0.7,1.2,0.22,0.11,0.11
Aron Baynes,Bos,F-C,32.51,2.1,2.8,0.3,0.33,0.33,0.56
Jaylen Brown,Bos,F,22.64,13.9,5.8,1.1,0.67,0.22,1.67
Gordon Hayward,Bos,F,29.23,9.6,4,2.4,0.67,0.33,1.67
Al Horford,Bos,F-C,33.03,13.9,9,4.4,0.44,0.78,2.11
Kyrie Irving,Bos,G,27.23,21.3,4.4,7,1.33,0.44,3.11
Marcus Morris,Bos,F,29.78,13.7,8.1,1.2,0.11,0.56,0.78
Terry Rozier,Bos,G,25.24,6.4,4.3,1.9,0.44,0.22,1.11
Jayson Tatum,Bos,F,21.28,15.2,6.7,1.9,1.11,0.78,2
Malcolm Miller,Tor,F,26.27,0.8,0.5,0.1,0,0.1,0.1
Tony Snell,Mil,G,27.59,0.6,0.2,0,0.11,0.11,0
Iman Shumpert,Hou,G,28.97,3.6,1.5,0.3,0.13,0,0.38
D.J. Wilson,Mil,F,23.32,2.4,1.3,0.5,0,0.13,0.88
Eric Moreland,Tor,F-C,27.47,0.3,1.6,0.4,0,0,0
Patrick McCaw,Tor,G,23.64,0.5,0.3,0.4,0.18,0,0.09
LaMarcus Aldridge,San,F,33.9,20,9.6,2.7,0.71,1,1
Marco Belinelli,San,G-F,33.22,5.9,1.9,1.1,0,0.29,0.29
DeMar DeRozan,San,G,29.85,22,6.7,4.6,1.14,0.14,1.71
Bryn Forbes,San,G,25.89,10.7,3.6,1,0.14,0.14,0.43
Rudy Gay,San,F,32.83,11.1,7.1,1.7,0.43,0.71,1.43
Patty Mills,San,G,30.84,5.3,2.1,3.6,1,0.14,0.43
Jakob Poeltl,San,C,23.66,7.3,7.7,1.7,0.29,0.71,0.43
Derrick White,San,G,24.95,15.1,3,3,0.71,0.71,2.14
Danuel House Jr.,Hou,F-G,26.02,4.9,3.1,0.1,0.43,0.29,0.57
Daniel Theis,Bos,F,27.19,1.7,1.4,0,0.14,0.14,0.14
Jonathon Simmons,Phi,F,29.75,3.6,1.3,0.3,0.14,0,0.86
Nene,Hou,C-F,36.75,3.9,2,0.4,0.43,0.29,0.43
